<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
04.10.2018;11:02:00;117620.0000000;117730.0000000;117610.0000000;117680.0000000
04.10.2018;11:03:00;117690.0000000;117710.0000000;117650.0000000;117670.0000000
04.10.2018;11:04:00;117650.0000000;117660.0000000;117570.0000000;117570.0000000
04.10.2018;11:05:00;117580.0000000;117640.0000000;117560.0000000;117570.0000000
04.10.2018;11:06:00;117570.0000000;117590.0000000;117400.0000000;117430.0000000
04.10.2018;11:07:00;117420.0000000;117480.0000000;117310.0000000;117360.0000000
04.10.2018;11:08:00;117360.0000000;117370.0000000;117220.0000000;117220.0000000
04.10.2018;11:09:00;117230.0000000;117310.0000000;117210.0000000;117280.0000000
04.10.2018;11:10:00;117280.0000000;117330.0000000;117270.0000000;117330.0000000
04.10.2018;11:11:00;117320.0000000;117320.0000000;117150.0000000;117150.0000000
04.10.2018;11:12:00;117150.0000000;117150.0000000;117060.0000000;117100.0000000
04.10.2018;11:13:00;117100.0000000;117160.0000000;117070.0000000;117140.0000000
04.10.2018;11:14:00;117140.0000000;117140.0000000;117070.0000000;117080.0000000
04.10.2018;11:15:00;117090.0000000;117110.0000000;117030.0000000;117090.0000000
04.10.2018;11:16:00;117090.0000000;117130.0000000;117050.0000000;117100.0000000
04.10.2018;11:17:00;117110.0000000;117140.0000000;117070.0000000;117090.0000000
04.10.2018;11:18:00;117080.0000000;117110.0000000;117030.0000000;117030.0000000
04.10.2018;11:19:00;117030.0000000;117060.0000000;116860.0000000;116940.0000000
04.10.2018;11:20:00;116940.0000000;116990.0000000;116890.0000000;116970.0000000
04.10.2018;11:21:00;116970.0000000;117060.0000000;116930.0000000;117030.0000000
04.10.2018;11:22:00;117030.0000000;117050.0000000;116980.0000000;117030.0000000
04.10.2018;11:23:00;117030.0000000;117100.0000000;117000.0000000;117100.0000000
04.10.2018;11:24:00;117100.0000000;117100.0000000;117050.0000000;117070.0000000
04.10.2018;11:25:00;117070.0000000;117070.0000000;117020.0000000;117050.0000000
04.10.2018;11:26:00;117040.0000000;117090.0000000;117030.0000000;117060.0000000
04.10.2018;11:27:00;117060.0000000;117170.0000000;117050.0000000;117140.0000000
04.10.2018;11:28:00;117140.0000000;117140.0000000;117080.0000000;117100.0000000
04.10.2018;11:29:00;117100.0000000;117160.0000000;117070.0000000;117070.0000000
04.10.2018;11:30:00;117080.0000000;117080.0000000;116940.0000000;116960.0000000
04.10.2018;11:31:00;116950.0000000;116950.0000000;116740.0000000;116850.0000000
04.10.2018;11:32:00;116840.0000000;116880.0000000;116820.0000000;116830.0000000
04.10.2018;11:33:00;116850.0000000;116850.0000000;116780.0000000;116840.0000000
04.10.2018;11:34:00;116850.0000000;116870.0000000;116760.0000000;116810.0000000
04.10.2018;11:35:00;116800.0000000;116840.0000000;116790.0000000;116840.0000000
04.10.2018;11:36:00;116830.0000000;116910.0000000;116800.0000000;116890.0000000
04.10.2018;11:37:00;116880.0000000;116880.0000000;116830.0000000;116840.0000000
04.10.2018;11:38:00;116860.0000000;116860.0000000;116810.0000000;116860.0000000
04.10.2018;11:39:00;116850.0000000;116910.0000000;116830.0000000;116910.0000000
04.10.2018;11:40:00;116910.0000000;116910.0000000;116860.0000000;116860.0000000
04.10.2018;11:41:00;116860.0000000;116960.0000000;116860.0000000;116940.0000000
04.10.2018;11:42:00;116950.0000000;116960.0000000;116880.0000000;116930.0000000
04.10.2018;11:43:00;116930.0000000;116930.0000000;116860.0000000;116880.0000000
04.10.2018;11:44:00;116880.0000000;116890.0000000;116830.0000000;116870.0000000
04.10.2018;11:45:00;116860.0000000;116940.0000000;116850.0000000;116850.0000000
04.10.2018;11:46:00;116850.0000000;116940.0000000;116780.0000000;116790.0000000
04.10.2018;11:47:00;116790.0000000;116800.0000000;116750.0000000;116780.0000000
04.10.2018;11:48:00;116790.0000000;116870.0000000;116770.0000000;116870.0000000
